acs_port_8080,db_port_3306,db_port_8123,timestamp
0,0,0,2021_10_08_21_40_58
6,0,0,2021_10_08_21_42_59
8,0,0,2021_10_08_21_44_59
3,0,0,2021_10_08_21_46_59
3,0,0,2021_10_08_21_48_59
0,0,0,2021_10_08_21_58_03
0,0,0,2021_11_08_14_50_44
4,0,0,2021_11_08_14_52_45
2,0,0,2021_11_08_14_54_40
0,0,0,2021_11_08_14_56_44
10,0,0,2021_11_08_14_58_45
10,0,0,2021_11_08_15_00_45
1,0,0,2021_11_08_15_02_45
1,0,0,2021_11_08_15_03_55
0,0,0,2021_11_08_15_04_25
11,0,0,2021_11_08_15_06_26
11,0,0,2021_11_08_15_08_26
1,0,0,2021_11_08_15_10_26
1,0,0,2021_11_08_15_12_26
3,0,0,2021_11_08_15_14_26
3,0,0,2021_11_08_15_16_26
3,0,0,2021_11_08_15_18_26
1,0,0,2021_11_08_15_20_26
1,0,0,2021_11_08_15_22_26
1,0,0,2021_11_08_15_24_26
1,0,0,2021_11_08_15_26_26
1,0,0,2021_11_08_15_28_26
1,0,0,2021_11_08_15_30_26
0,0,0,2021_11_08_15_49_31
10,0,0,2021_11_08_15_51_32
5,0,0,2021_11_08_15_53_32
5,0,0,2021_11_08_15_55_32
5,0,0,2021_11_08_15_57_32
0,0,0,2021_11_08_15_58_36
9,0,0,2021_11_08_16_00_36
9,0,0,2021_11_08_16_02_37
1,0,0,2021_11_08_16_04_36
1,0,0,2021_11_08_16_06_36
0,0,0,2021_11_08_16_08_23
0,0,0,2021_11_08_16_10_13
13,0,0,2021_11_08_16_12_14
13,0,0,2021_11_08_16_14_14
1,0,0,2021_11_08_16_16_14
1,0,0,2021_11_08_16_18_14
1,0,0,2021_11_08_16_20_14
1,0,0,2021_11_08_16_22_14
0,0,0,2021_11_08_16_22_56
13,0,0,2021_11_08_16_24_57
7,0,0,2021_11_08_16_25_44
8,0,0,2021_11_08_16_26_57
2,0,0,2021_11_08_16_27_45
2,0,0,2021_11_08_16_28_57
2,0,0,2021_11_08_16_29_45
2,0,0,2021_11_08_16_30_57
2,0,0,2021_11_08_16_31_45
2,0,0,2021_11_08_16_32_57
2,0,0,2021_11_08_16_33_45
14,0,0,2021_11_08_16_34_57
